,Title,Abstract,Category,Words
96,"Project portfolio risk identification and analysis, considering project risk interactions and using Bayesian Networks","An organization's strategic objectives are accomplished through portfolios. However, the materialization of portfolio risks may affect a portfolio's sustainable success and the achievement of those objectives. Moreover, project interdependencies and caus Project portfolio risk identification and analysis, considering project risk interactions and using Bayesian Networks",Risk management,organization strategic objective accomplished   materialization  risk may affect  sustainable success ment objective moreover  interdependency caus   risk identification analysis considering  risk interaction  bayesian network
97,Risks of Data Science Projects - A Delphi Study,"Risk is one of the most crucial components of a project. Its proper evaluation and treatment increase the chances of a project's success. This article presents the risks in Data Science projects, assessed through a study conducted with the Delphi technique, to answer the question, ""What are the risks of Data Science projects"". The study allowed the identification of specific risks related to data science projects, however it was possible to verify that over a half of the most mentioned risks are similar to other types of IT projects. This paper describes the research from expert selection, risk identification and analysis, and the first conclusions. © 2021 Elsevier B.V. All rights reserved. Risks of Data Science Projects - A Delphi Study",Risk management,risk  crucial compnt  proper evaluation treatment increase chance  success article  risk data science  assessed study conducted delphi technique answer question risk data science  study allowed identification specific risk related data science   possible verify half mentid risk similar type   describes research expert selection risk identification analysis first conclusion   elsevier   right reserved risk data science  delphi study
98,Use of Artificial Intelligence Smart Tools in Projects,"In recent years, artificial intelligence (AI) has gotten a lot of press and attention. Learning and adapting through constant algorithmic interventions aid in the development of a firm grasp of the situation at hand, as well as the handling of more difficult challenges as they arise. Cognitive psychology and knowledge-based applications engineering are at the heart of AI. AI-assisted quicker computing approaches are being used to address complex difficulties. Simultaneously, new, and more complicated issues emerge, which are difficult for the human mind to understand and envision, and which are far from being solved. Dynamic developments in global technical, economic, political, and environmental settings provide insurmountable challenges to corporate executives and strategists. Projects and project management are used to carry out business plans and government welfare goals. Throughout the project's timeframe, project managers must cope with restrictions. Regardless of methodology, predictive or iterative, the existence of various stakeholders and managing their requirements creates a slew of issues for the project manager and team. This paper aims to explain the existing industrial procedures employed by project managers that utilize AI principles. The author's aim is to set out obstacles and realistic alternatives for next generation project managers to apply AI in managing stakeholder expectations, resolving dissent and conflicts, and assuring flawless project delivery. © 2022 IEEE. Use of Artificial Intelligence Smart Tools in Projects",Risk management,recent year artificial intelligence  gotten lot  attention learning adapting constant algorithmic intervention aid development firm grasp situation hand  handling difficult challenge arise cognitive psychology knowledge based application engineering heart   assisted quicker computing approach  address complex difficulty simultaneously  complicated issue emerge difficult human mind understand envision far solved dynamic development global technical economic political environmental ting provide insurmountable challenge corporate executive strategist     carry business plan government welfare goal throughout  frame   must cope restriction regardless methodology dictive iterative existence various stakeholder managing requirement creates slew issue   team   explain existing industrial procedure employed   utilize  principle    obstacle realistic alternative next generation   apply  managing stakeholder expectation resolving dissent conflict assuring flawless  delivery   ieee  artificial intelligence smart tool 
99,Evaluation Criteria of Project Risk and Decision Making Through Beta Analysis and TOPSIS Towards Achieving Organizational Effectiveness,"Value of a project of an organization is primarily determined by two major factors – risk and return. The most important aspect of a business analysis, therefore, lies with the analysis of the risks and their associated returns. The basic objective of an organization is to increase the productivity to grab more market share. But the problem is that market risk is inherent in all projects and, by nature, it is stochastic. It can hardly be avoided but can be mitigated at most through diversification. Through Capital Asset Pricing Model (CAPM), the systematic or un-diversifiable risks can be described and measured by beta, ?. In order to mitigate the risk, investments are to be made on a combination of different projects or portfolio of projects rather than a single project. Through ?-hedging, a proper hedging strategy can be developed to reduce the systematic risk. But it has also been observed that the concept of CAPM has been plagued by the stochastic nature of the economy. Therefore, in the first part of this work, the systematic risk has been evaluated through time-varying ? analysis. According to the results of the hedge performance of individual projects of the portfolio, it will be possible to select/rank the projects according to their risk-return trade-off capacity and in the second part, the Technique for Order Preference using Similarity to Ideal Solution (TOPSIS), one of the most important MCDM techniques, has been merged with CAPM in order to provide a more justified selection procedure of projects considering four more attributes, other than risk, which may confirm a more realistic basis of creating the portfolio for increasing organizational effectiveness. Evaluation Criteria of Project Risk and Decision Making Through Beta Analysis and TOPSIS Towards Achieving Organizational Effectiveness",Risk management,value  organization primarily deined two major factor risk return important aspect business analysis therefore lie analysis risk associated return basic objective organization increase productivity grab market share  market risk inherent   stochastic hardly avoided mitigated diversification capital  pricing model capm atic  diversifiable risk described measured beta order mitigate risk investment made combination     rather   hedging proper hedging strategy  reduce atic risk  observed  capm plagued stochastic  economy therefore first part work atic risk evaluated  varying analysis according  hedge performance individual   possible select rank  according risk return trade off capacity second part technique order ference  similarity ideal solution topsis  important mcdm technique merged capm order provide justified selection procedure  considering four attribute risk may confirm realistic basis creating  increasing organizational effectiveness evaluation criterion  risk decision making beta analysis topsis towards achieving organizational effectiveness
100,Best practices in structuring data science projects,"The goal of Data Science projects is to extract knowledge and insights from collected data. The focus is put on the novelty and usability of the obtained insights. However, the impact of a project can be seriously reduced if the results are not communicated well. In this paper, we describe a means of managing and describing the outcomes of the Data Science projects in such a way that they optimally convey the insights gained. We focus on the main artifact of the non-verbal communication, namely project structure. In particular, we surveyed three sources of information on how to structure projects: common management methodologies, community best practices, and data sharing platforms. The survey resulted in a list of recommendations on how to build the project artifacts to make them clear, intuitive, and logical. We also provide hints on tools that can be helpful for managing such structures in an efficient manner. The paper is intended to motivate and support an informed decision on how to structure a Data Science project to facilitate better communication of the outcomes. © 2019, Springer Nature Switzerland AG. Best practices in structuring data science projects",Risk management,goal data science  extract knowledge insight collected data  put novelty  obtained insight  impact  seriously reduced  communicated   describe mean managing describing outcome data science  way optimally convey insight gained  main artifact  verbal communication namely  structure particular surveyed three source information structure  common  methodology community  practice data sharing platform survey  list recommendation build  artifact  clear intuitive logical  provide hint tool ful managing structure efficient manner  intended motivate support informed decision structure data science  facilitate better communication outcome   springer  switzerland   practice structuring data science 
101,Project portfolio risk response selection using bayesian belief networks,"Risk identification, impact assessment, and response planning constitute three building blocks of project risk management. Correspondingly, three types of interactions could be envisioned between risks, between impacts of several risks on a portfolio com Project portfolio risk response selection using bayesian belief networks",Risk management,risk identification impact assessment response planning constitute three building block  risk  correspondingly three type interaction could envisid risk impact  risk  com   risk response selection  bayesian belief network
102,Risk Response Strategies Selection over the Life Cycle of Project Portfolio,"The successful implementation of project portfolios (PP) calls for effective risk management, in which selecting optimal risk response strategies help to reduce the impact of risk. Project portfolio risks (PPRs) exhibit causality and time dependency over Risk Response Strategies Selection over the Life Cycle of Project Portfolio",Risk management,successful implementation    call effective risk  selecting optimal risk response strategy  reduce impact risk   risk pprs exhibit causality  dependency risk response strategy selection life cycle  
103,A portfolio risk response strategies selection model considering interference of strategy realization and two-level correlation of risks; [??????????????????????????????],"Due to the influence of project portfolio risks, project portfolios can not effectively support the realization of enterprise strategies. Therefore, enterprises need to adopt appropriate risk response strategies to ensure the project portfolio success, b A portfolio risk response strategies selection model considering interference of strategy realization and two-level correlation of risks; [??????????????????????????????]",Risk management,due influence   risk   effectively support realization enterprise strategy therefore enterprise  adopt appropriate risk response strategy ensure   success   risk response strategy selection model considering interference strategy realization two  correlation risk
104,R&D projects selection in telecommunications under uncertainty and resource restrictions using scheduling,"Telecommunications R&D organizations, as inserted in a high-technology market environment, need to develop continuously projects. Considering it, a formal approach for project selection is needed, once, in general, there is no enough funding for all of t R&D projects selection in telecommunications under uncertainty and resource restrictions using scheduling",Risk management,telecommunication  organization inserted high technology market environment  develop continuously  considering formal approach  selection  general enough funding   selection telecommunication uncertainty resource restriction  scheduling
105,Project Risk Response Decision Making Under Uncertain Project Interdependencies,"Project portfolio (PP) risk management entails making risk response decisions (RRDs) on single projects within PPs (SPPPs). However, the presence of uncertain project interdependencies (UPIs) increases the difficulty of RRDs. This study provides a decisi Project Risk Response Decision Making Under Uncertain Project Interdependencies",Risk management,   risk  entail making risk response decision rrds    pps sppps  sence uncertain  interdependency upis increase difficulty rrds study provides decisi  risk response decision making uncertain  interdependency
106,The management of organizational ambidexterity through alliances in a new context of analysis: Internet of Things (IoT) smart city projects,"In the last decade, the Internet of Things (IoT) has affected the approach of organizations to innovation and how they create and capture value in everyday business activities. This is compounded in the so-called Smart Cities, where the objective of the  The management of organizational ambidexterity through alliances in a new context of analysis: Internet of Things (IoT) smart city projects",Stakeholder management,last decade internet thing iot affected approach organization innovation create capture value everyday business activity compounded  called smart city objective  organizational ambidexterity alliance  context analysis internet thing iot smart city 
107,Integrating environmental sustainability and project portfolio management: Case study in an energy firm,"Although international and relevant research on environmental sustainability and project portfolio management is quite developed, there are few studies integrating the two areas. We could only identify research on each of the areas and very few interface Integrating environmental sustainability and project portfolio management: Case study in an energy firm",Stakeholder management, international relevant research environmental sustain    quite  study integrating two  could  research  inter integrating environmental sustain     study energy firm
108,Project Portfolio Management and Communication,This chapter focuses on the importance of communication by those responsible for the portfolio and discusses the various communication paths needed in Project Portfolio Management (PPM). Stakeholders are treated differently depending on where they fall w Project Portfolio Management and Communication,Stakeholder management,chapter  importance communication responsible  discus various communication path     ppm stakeholder treated  depending fall     communication
109,Using pre-project planning to manage workload,"Purpose Pre-project planning can be an important process for libraries managing large project portfolios. The process allows anyone within an organization to put forth a potential project, and it clearly articulates the process both for developing an ide Using pre-project planning to manage workload",Stakeholder management,   planning important  library managing large    allows any  organization put forth potential  clearly articulates  developing ide    planning  workload
110,Continuous Improvements in Project Management Practices Through PMOs-The Case of Buzios Field,This paper presents a series of improvements Petrobras has been undertaking in its Project Management (PM) practices and the shaping of a multi-level Project Management Office (PMO) structure through the case of Buzios implementation program. Buzios is P Continuous Improvements in Project Management Practices Through PMOs-The Case of Buzios Field,Stakeholder management,  series improvement petrobras undertaking    practice shaping multi    office pmo structure   implementation program   continuous improvement   practice pmos the   
111,Establishing project portfolio management: An exploratory analysis of the influence of internal stakeholders' interactions,"Project portfolio management (PPM) is viewed as a management innovation that must be further established and professionalized in many firms. Stakeholder behavior and stakeholder management are key success factors for project portfolios. Furthermore, stak Establishing project portfolio management: An exploratory analysis of the influence of internal stakeholders' interactions",Stakeholder management,   ppm viewed  innovation must established professionalized  firm stakeholder behavior stakeholder   success factor   furthermore stak establishing    exploratory analysis influence internal stakeholder interaction
112,Assessing capacity for health policy and systems research in low and middle income countries,"Background: As demand grows for health policies based on evidence, questions exist as to the capacity of developing countries to produce the health policy and systems research (HPSR) required to meet this challenge. Methods: A postal/web survey of 176 HP Assessing capacity for health policy and systems research in low and middle income countries",Stakeholder management,background demand grows health policy based evidence question exist capacity developing country produce health policy  research hpsr required meet challenge method postal web survey    assessing capacity health policy  research low middle income country
113,The Innovative Medicines Initiative neurodegeneration portfolio: From individual projects to collaborative networks,The IMI public-private partnership between the European Commission and the European Federation of Pharmaceutical Industries and Associations (EFPIA) was launched in 2008 with an initial budget of ?2 billion. Aiming to accelerate the development of innova The Innovative Medicines Initiative neurodegeneration portfolio: From individual projects to collaborative networks,Stakeholder management,imi  private partnership european commission european federation pharmaceutical industry association efpia launched   initial budget   billion ing accelerate development innova innovative medicine initiative neurodegeneration  individual  collaborative network
114,How entrepreneurial orientation can leverage innovation project portfolio management,Innovation project portfolio management (IPPM) is a key task in R&D management because this decision-making process determines which R&D projects should be undertaken and how R&D resources are allocated. Previous research has developed a good understandi How entrepreneurial orientation can leverage innovation project portfolio management,Stakeholder management,innovation    ippm  task   decision making  deines   undertaken  resource allocated vious research  good understandi entreneurial orientation leverage innovation   
115,Critical analysis of the Armed Forces Covenant Fund Trust Aged Veterans Fund,"Background Relatively little research is available regarding the specific needs of older military veterans and the services introduced to support them. In 2016, the Armed Forces Covenant Fund Trust launched the Aged Veterans Fund (AVF), to understand the Critical analysis of the Armed Forces Covenant Fund Trust Aged Veterans Fund",Stakeholder management,background relatively little research available regarding specific  older military veteran service introduced support   armed force covenant fund trust launched aged veteran fund avf understand critical analysis armed force covenant fund trust aged veteran fund
116,Data Science Roadmapping: Towards an Architectural Framework,"The availability of big data and related technologies enables businesses to exploit data for competitive advantage. Still, many industries face obstacles while leveraging data science to overcome business problems. This paper explores the development of a roadmapping approach to address data science challenges. Towards this goal, we customize technology roadmapping by synthesizing roadmapping, big data, data science, and data-driven organization literature. The resulting data science roadmapping approach links business strategy with data-related, technological, and organizational resources. It also enables communication, stakeholder buy-in, and project prioritization. While most of the existing studies illustrate prebuilt roadmaps, this study focuses on the process of roadmapping. The application of the roadmapping process rather than a particular roadmap provides the benefits above. © 2020 IEEE. Data Science Roadmapping: Towards an Architectural Framework",Stakeholder management,avail big data related technology enables business exploit data competitive advantage still  industry  obstacle leveraging data science overcome business   explores development roadmapping approach address data science challenge towards goal customize technology roadmapping synthesizing roadmapping big data data science data driven organization literature ing data science roadmapping approach link business strategy data related technological organizational resource  enables communication stakeholder buy   prioritization existing study illustrate  roadmaps study   roadmapping application roadmapping  rather particular roadmap provides benefit   ieee data science roadmapping towards architectural framework
117,"A framework for developing performance objectives for projects, programs, and portfolios","Performance objectives are those key considerations or requirements of the stakeholders that form the basis or lens through which they view the temporary organization (i.e., a project, portfolio, or program). The ability to identify and agree on the key  A framework for developing performance objectives for projects, programs, and portfolios",Stakeholder management,performance objective  consideration requirement stakeholder form basis lens view temporary organization     program   agree  framework developing performance objective  program 
118,Project portfolio selection and scheduling optimization based on risk measure: a conditional value at risk approach,Project portfolios are considered ?powerful strategic weapons? for implementing corporate strategy. Projects are exposed to different types of risks. Studies on project portfolio optimization have addressed risks either by maximizing the expected net pre Project portfolio selection and scheduling optimization based on risk measure: a conditional value at risk approach,Strategic alignment,  considered powerful strategic weapon implementing corporate strategy  exposed  type risk study   optimization addressed risk either maximizing expected net    selection scheduling optimization based risk measure conditional value risk approach
119,"Trade off between risk management, value creation and strategic alignment in project portfolio management","Projects portfolio management allows the company to select, prioritize, integrate, manage and check its projects in a multi project context. In this paper, we consider a very important part of the projects portfolio management namely the selection of pro Trade off between risk management, value creation and strategic alignment in project portfolio management",Strategic alignment,   allows company select prioritize integrate  check  multi  context  consider important part    namely selection pro trade risk  value creation strategic alignment   
120,Information technology (IT) project portfolio management practices in South Africa,"Many organisations have adopted Project Portfolio Management (PPM) processes to improve the implementation of their strategies, however few organisations have achieved tangible returns on investment (ROI) from PPM. Although PPM stakeholders are aware tha Information technology (IT) project portfolio management practices in South Africa",Strategic alignment, organisation adopted    ppm  improve implementation strategy  organisation  tangible return investment roi ppm  ppm stakeholder aware tha information technology    practice south africa
121,Designing a hybrid system dynamic model for analyzing the impact of strategic alignment on project portfolio selection,"One of the key challenges in project organizations is the alignment of portfolio management with major corporate strategies. Usually, project-based organizations use shared resources to control and plan the project portfolio. Therefore, the exploitation  Designing a hybrid system dynamic model for analyzing the impact of strategic alignment on project portfolio selection",Strategic alignment,  challenge  organization alignment   major corporate strategy usually  based organization  shared resource control plan   therefore exploitation designing hybrid  dynamic model analyzing impact strategic alignment   selection
122,IT project portfolio selection decision model based on strategic alignment,The objective of this paper is to construct a fuzzy IT project portfolio selection model based on strategic alignment. Fuzzy set theory is applied to model uncertain project information and a fuzzy analytic net process (FANP) frame integrated with critic IT project portfolio selection decision model based on strategic alignment,Strategic alignment,objective  construct fuzzy   selection model based strategic alignment fuzzy  theory applied model uncertain  information fuzzy analytic net  fanp frame integrated critic   selection decision model based strategic alignment
123,A Dashboard to Support Management of Business Analytics Capabilities,"Business analytics (BA) systems create value and provide competitive advantage for organisations. They involve technology and data infrastructure, BA capabilities and business processes that provide useful insights and support decision-making. To provide value and competitive advantage, BA capabilities should be valuable, rare and inimitable, and have organisational support (VRIO). In this paper, we develop and evaluate a prototype dashboard for the VRIO assessment of BA capabilities. The dashboard is intended to support the strategic management of BA capabilities. We discuss implications of the prototype dashboard for researchers and practitioners and suggest directions for future research. © 2015 Taylor & Francis. A Dashboard to Support Management of Business Analytics Capabilities",Strategic alignment,business analytics   create value provide competitive advantage organisation involve technology data infrastructure  cap business  provide ful insight support decision making provide value competitive advantage  cap valuable rare inimitable organisational support vrio  develop evaluate prototype dashboard vrio assessment  cap dashboard intended support strategic   cap discus implication prototype dashboard researcher practitir suggest direction future research   taylor francis dashboard support  business analytics cap
124,A decision-making framework for project portfolio planning at Intel Corporation,"The work we describe addresses the problem of deciding between project-funding opportunities under budget and headcount constraints. Although the projects lead to products that yield revenue in the market, complex interactions between the projects and products make the selection of a portfolio difficult. Furthermore, the senior managers in the company have a wealth of business intuition that can inform the required decisions. We combine modeling, simulation, and optimization techniques to provide a set of the best portfolios possible from the proposed projects and resulting products. We also provide a rich set of analysis and visualization tools for the decision makers to use in exploring the suggested portfolios and applying their intuition to make the final selection. The resulting interplay between analytics and intuition produces better business solutions through a more focused and effective debate in a shorter time than previously achieved. © 2015 INFORMS. A decision-making framework for project portfolio planning at Intel Corporation",Strategic alignment,work describe address  deciding  funding opportunity budget headcount constraint   lead product yield revenue market complex interaction  product  selection  difficult furthermore senior  company wealth business intuition inform required decision combine modeling simulation optimization technique provide    possible   ing product  provide rich  analysis visualization tool decision   exploring suggested  applying intuition  final selection ing interplay analytics intuition produce better business solution  effective debate shorter  viously    informs decision making framework   planning intel corporation
125,How to measure and manage the UK Government’s major project portfolio,"Purpose: The purpose of this paper is to stimulate changes to the way performance data is used to improve performance taking the government’s use of project data as an example. Design/methodology/approach: This paper uses systems theory to review the way the government’s major projects portfolio should be analysed. Findings: This paper concludes that broader engagement in the analytics process should be considered as a way of improving insights and learning from reviews. The paper suggests that report alone has limited value. Research limitations/implications: By taking a systems approach, this study raises questions about the methods used to manage data analysis and system improvements. Systems thinking is a useful tool to consider applications such as the performance of the government’s project portfolio, but there are many other approaches that can be applied. Practical implications: This study makes very specific recommendations around the roles and responsibilities of people and teams at different levels in the system. Roles and activities are described together with recommendations about interfering in and overreaching these roles and activities. Originality/value: This paper synthesises a number of systems approaches together with a view of why “we measure” to create a framework for analysing approaches to performance improvement. The practical application provided here gives insights into how these approaches can be used in real-life contexts. © 2020, Emerald Publishing Limited. How to measure and manage the UK Government’s major project portfolio",Strategic alignment,   stimulate change way performance data  improve performance taking government   data example design methodology approach    theory review way government major   analysed finding  concludes broader engagement analytics  considered way improving insight learning review  suggests report  limited value research limitations implications taking  approach study raise question method   data analysis  improvement  thinking ful tool consider application performance government    approach applied practical implication study  specific recommendation  role responsibility people team    role activity described together recommendation interfering overreaching role activity originality value  synthesis   approach together view measure create framework analysing approach performance improvement practical application provided  insight approach  real life context   emerald publishing limited measure   government major  
126,A dashboard to support management of business analytics capabilities,"Business analytics (BA) systems create value and provide competitive advantage for organisations. They involve technology and data infrastructure, BA capabilities, and business processes that provide useful insights and support decision-making. To provide value and competitive advantage, BA capabilities should be valuable, rare, inimitable and have organisational support (VRIO). In this paper, we develop and evaluate a prototype dashboard for the VRIO assessment of BA capabilities. The dashboard is intended to support the strategic management of BA capabilities. We discuss implications of the prototype dashboard for researchers and practitioners and suggest directions for future research. © 2014 The authors and IOS Press. All rights reserved. A dashboard to support management of business analytics capabilities",Strategic alignment,business analytics   create value provide competitive advantage organisation involve technology data infrastructure  cap business  provide ful insight support decision making provide value competitive advantage  cap valuable rare inimitable organisational support vrio  develop evaluate prototype dashboard vrio assessment  cap dashboard intended support strategic   cap discus implication prototype dashboard researcher practitir suggest direction future research      right reserved dashboard support  business analytics cap
127,Big data dreams: A framework for corporate strategy,"The phenomenon of big data—large, diverse, complex, and/or longitudinal data sets—is having a stark influence on organizational strategy making. An increase in levels of data and technological capabilities is redefining innovation, competition, and productivity. This article contributes to both practical strategic application and academic research in the strategic management domain by presenting a framework that identifies how big data improves functional capabilities within organizations, shapes entirely new industries, and is a key component of innovative and disruptive strategies used by learning organizations to diversify and break down barriers of traditionally defined industries. This framework provides an appropriate basis for internal corporate strategy discussions that surround big data investments by explaining how firms create value through various approaches. In addition, we offer guidance for how firms might derive their own big data approach through the merits of aligning data strategy aspirations with data strategy authenticity. © 2017 Kelley School of Business, Indiana University Big data dreams: A framework for corporate strategy",Strategic alignment,phenome big datalarge diverse complex and  itudinal data sis stark influence organizational strategy making increase  data technological cap redefining innovation competition productivity article contributes practical strategic application academic research strategic  domain ing framework identifies big data improves functional cap  organization shape entirely  industry  compnt innovative disruptive strategy  learning organization diversify break barrier traditionally defined industry framework provides appropriate basis internal corporate strategy discussion surround big data investment explaining firm create value various approach addition offer guidance firm might derive big data approach merit aligning data strategy aspiration data strategy authenticity   kelley school business indiana university big data dream framework corporate strategy
128,A framework for big data integration within the strategic management process based on a balanced scorecard methodology,"The purpose of this research is to study the impact of big data initiatives on strategic management processes. While the majority of strategic management disciplines have had research dedicated to the use of strategic management theories to understand how big data affect organizational performance, the body of research on big data lacks academic work capable of examining how to integrate big data into the strategic management process. The main contributions of this work are: (1) it highlights the strategic use of big data; (2) it analyses the main frameworks/models proposed by scholars that support the use of big data as a strategic management tool, and outlines this research gap; and (3) it proposes a new framework that integrates big data within the strategic management process based on a balanced scorecard methodology. © 2021 A framework for big data integration within the strategic management process based on a balanced scorecard methodology",Strategic alignment, research study impact big data initiative strategic   majority strategic  discipline research dedicated  strategic  theory understand big data affect organizational performance body research big data lack academic work capable examining integrate big data strategic   main contribution work   highlight strategic  big data   analysis main frameworks models  scholar support  big data strategic  tool outline research gap   proposes  framework integrates big data  strategic   based balanced scorecard methodology   framework big data integration  strategic   based balanced scorecard methodology
129,Integrating a Project Risk Model into a BI Architecture,"In today’s unpredictable and disruptive business landscape organizations face challenges that severely threatens their existence. To efficiently respond such challenges organizations must craft strategies to become more data-informed, agile, adaptative, and flexible. Integrating dynamic data analytical models in organizational structures to collect, analyze and interpret business data, is critical to organizations because it enables them to make more data-informed decisions and reduce bias in decision-making. In this work is illustrated the integration of a heuristic project risk-model used to identify project critical success factors into a typical organizational business intelligence architecture. The proposed integration enables organizations to efficiently and in a timely manner identify project collaborative risks by addressing people, environment, and tools, and generate actionable project-related knowledge that helps organizations to efficiently respond business challenges and achieve sustainable competitive advantages. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG. Integrating a Project Risk Model into a BI Architecture",Strategic alignment, undictable disruptive business landscape organization  challenge severely threatens existence efficiently respond challenge organization must craft strategy  data informed agile adaptative flexible integrating dynamic data analytical model organizational structure collect analyze intert business data critical organization enables  data informed decision reduce bias decision making work illustrated integration heuristic  risk model    critical success factor typical organizational business intelligence architecture  integration enables organization efficiently  manner   collaborative risk addressing people environment tool generate actionable  related knowledge  organization efficiently respond business challenge  sustainable competitive advantage    exclusive license springer  switzerland  integrating  risk model  architecture
130,Selection of Investment Portfolio Using Multi-criteria Decision Model (MCDM) and Integer Programming Model,This paper is an attempt to select few vital investment projects among a number of feasible projects using MCDM and linear integer programming in the face of limited financial resources. The tangible and intangible considerations are taken care of using  Selection of Investment Portfolio Using Multi-criteria Decision Model (MCDM) and Integer Programming Model,Strategic alignment, attempt select  investment  among  feasible   mcdm linear integer programming  limited financial resource tangible intangible consideration taken care  selection investment   multi criteria decision model mcdm integer programming model
131,"2015 10th International Conference on Intelligent Systems: Theories and Applications, SITA 2015","The proceedings contain 70 papers. The topics discussed include: user profile model: a user dimension based classification; a theoretical e-government portals' benchmarking framework; quality of data in mediation systems; mapping discovery methodology in 2015 10th International Conference on Intelligent Systems: Theories and Applications, SITA 2015",Strategic alignment,proceeding     topic discussed   profile model  dimension based classification theoretical  government portal benchmarking framework quality data mediation  mapping discovery methodology     international conference intelligent  theory application sita  
132,Balancing the strategic value and the operational value in IT portfolio selection,"This paper provides a methodological framework in which the problem of IT project portfolio selection is solved by balancing between operational and strategic IT investments. From interviews with CIOs, we found that the interest in IT projects in many fi Balancing the strategic value and the operational value in IT portfolio selection",Strategic alignment, provides methodological framework    selection solved balancing operational strategic investment interview cio found interest    balancing strategic value operational value  selection
133,Strategic alignment and value maximization for IT project portfolios,"Managing project portfolios has been a challenge to many IT organizations due to the size and complexity of their initiatives that are often cross-functional, fast changing, and transformational in nature. Governance on soliciting, selecting, and monitor Strategic alignment and value maximization for IT project portfolios",Strategic alignment,managing   challenge  organization due size complexity initiative  cross functional fast changing transformational  governance soliciting selecting monitor strategic alignment value maximization  
134,Selecting a portfolio of projects considering both optimization and balance of sub-portfolios,"Over the past four decades, portfolio selection has been one of the most important concerns of researchers, project managers, project-oriented companies, and public agencies around the world. Although numerous studies have been done in this field, still  Selecting a portfolio of projects considering both optimization and balance of sub-portfolios",Strategic alignment,past four decade  selection  important concern researcher    oriented company  agency    numerous study   still selecting   considering optimization balance sub 
135,Big data analytics in innovation processes: which forms of dynamic capabilities should be developed and how to embrace digitization?,"Purpose: The purpose of this paper is to analyze, from a dynamic capabilities perspective, the role of big data analytics in supporting firms' innovation processes. 
Design/methodology/approach: Relevant literature is reviewed and critically assessed. An interpretive methodology is used to analyze empirical data from interviews of big data analytics experts at firms within digitally related sectors. 
Findings: This study shows how firms leverage big data to gain “richer” and “deeper” data at the inter-sections between the digital and physical worlds. The authors provide evidence for the importance of counterintuitive strategies aimed at developing innovative products, services or solutions with characteristics that may initially diverge, even significantly, from established customer/user needs. 
Practical implications: The authors’ findings offer insights to help practitioners manage innovation processes in the physical world while taking investments in big data analytics into account. 
Originality/value: The authors provide insights into the evolution of scholarly research on innovation directed toward opportunities to create a competitive advantage by offering new products, services or solutions diverging, even significantly, from established customer demand. © 2021, Rosita Capurro, Raffaele Fiorentino, Stefano Garzella and Alessandro Giudici. Big data analytics in innovation processes: which forms of dynamic capabilities should be developed and how to embrace digitization?",Strategic alignment,   analyze dynamic cap perspective role big data analytics supporting firm innovation  design methodology approach relevant literature reviewed critically assessed intertive methodology  analyze empirical data interview big data analytics expert firm  digitally related sector finding study  firm leverage big data gain richer deeper data inter sections digital physical   provide evidence importance counterintuitive strategy  developing innovative product service solution characteristic may initially diverge even significantly established customer   practical implication  finding offer insight  practitir  innovation  physical  taking investment big data analytics account originality value  provide insight evolution scholarly research innovation directed toward opportunity create competitive advantage offering  product service solution diverging even significantly established customer demand   rosita capurro raffaele fiorentino stefano garzella alessandro giudici big data analytics innovation  form dynamic cap  embrace digitization
