Title,Capacity management,Change Management,Financial management,Governance,Monitoring and control,Risk management,Stakeholder management,Strategic alignment,Value management
Automated vision-based construction progress monitoring in built environment through digital twin,6.81,7.04,7.89,6.54,7.66,6.68,7.79,6.5,8.31
Preparing Students for Construction Management Technology Curriculum,5.01,3.52,6.11,6.54,6.38,4.75,4.33,4.17,5.62
Mining Health Informatics Job Advertisements: Insights for Higher Education Programs and Job Seekers,3.01,3.52,3.82,3.46,3.83,3.16,5.19,2.7,3.42
Introduction and Practice of Total System Engineering to University and College Education,4.41,2.11,3.56,5.0,4.47,4.92,5.19,3.31,5.13
Automation in Project Management 4.0 with Artificial Intelligence,6.21,7.04,7.12,5.38,6.17,6.15,6.93,5.03,6.36
"7th International Conference on Information Technology in Disaster Risk Reduction, ITDRR 2022",5.81,9.86,7.63,6.54,8.3,6.15,7.36,5.15,8.07
RESEARCH ETHICS IN APPLIED ECONOMICS,3.21,3.52,3.56,5.77,3.62,4.75,4.33,4.05,4.89
MANAGERIAL OPPORTUNITIES IN APPLICATION OF BUSINESS INTELLIGENCE IN CONSTRUCTION COMPANIES,8.02,7.75,8.4,8.46,7.02,6.33,8.66,6.38,8.56
"Sustainable Development and the Digital Economy: Human-centricity, Sustainability and Resilience in Asia",7.01,10.56,6.11,8.08,6.17,5.98,5.19,5.4,6.36
"""To thrive at an undergraduate institution, one must love teaching and advising""",3.21,2.11,2.54,2.69,2.77,2.99,2.6,3.07,3.18
Teaching Simulations Supported by Artificial Intelligence in the Real World,5.81,3.52,5.85,5.38,4.89,5.98,5.19,4.91,4.89
Use Cases for Software Development Analytics: A Case Study,6.01,6.34,7.38,7.31,6.81,6.68,7.36,5.4,7.58
"12th International Symposium on Intelligent Manufacturing and Service Systems, IMSS 2023",4.81,7.75,5.34,3.85,7.66,5.27,6.93,4.79,6.85
Deep learning-based data analytics for safety in construction,4.81,5.63,6.87,7.31,6.17,5.62,7.79,5.28,8.07
Seven ways to make a data science project fail,4.21,3.52,2.54,3.08,2.98,2.64,5.63,2.7,4.4
Blockchain Based Software Engineering Requirements Analysis and Management,3.41,2.11,3.82,3.85,2.98,3.69,4.76,2.7,4.65
The 4th International Workshop on Talent and Management Computing (TMC'2023),7.82,11.27,7.63,8.08,6.17,5.98,9.96,5.15,9.54
Industry Perception of the Knowledge and Skills Required to Implement Sensor Data Analytics in Construction,6.41,7.75,7.12,7.69,6.81,5.8,8.66,5.52,6.36
Standard terms as analytical variables for collective data sharing in construction management,5.61,4.23,7.12,6.15,6.17,6.5,5.63,5.03,6.6
A Predictive Analytics Framework for Mobile Crane Configuration Selection in Heavy Industrial Construction Projects,4.61,4.93,5.09,3.46,5.53,4.92,4.33,4.17,5.13
Use of big data in strategic management as a new perspective,4.21,3.52,4.83,5.0,3.4,3.69,5.19,3.56,3.91
Implementing Remote-Sensing Methodologies for Construction Research: An Unoccupied Airborne System Perspective,5.41,5.63,7.12,4.23,7.45,5.98,6.06,5.4,8.07
Agile software development in construction projects - A report summarizing the DigitalTWIN research project; [Agile Softwareentwicklung in Bauprojekten – Ein Bericht aus dem Forschungsprojekt DigitalTWIN],5.01,9.86,5.6,6.54,8.09,7.03,6.93,5.28,7.33
Construction Project Management with Digital Twin Information System,5.21,7.75,7.38,6.54,6.17,5.8,4.33,4.54,5.62
A literature review on applications of Industry 4.0 in Project Management,7.62,5.63,7.38,8.08,5.53,5.8,10.82,5.89,9.05
Demand-driven business strategy: Digital transformation and business model innovation,6.41,6.34,4.33,6.15,4.47,5.62,6.93,4.29,5.38
Successful Project Completion During the COVID-19 Pandemic - A Lesson Learnt,3.81,3.52,2.04,4.23,2.55,2.28,2.16,2.58,2.44
Bridging the divide between data scientists and clinicians,2.61,1.41,1.78,2.69,2.34,3.16,1.73,2.7,2.69
How do business students self-regulate their project management learning? A sequence mining study,2.61,3.52,3.56,3.08,2.34,2.46,3.03,2.45,2.2
Project Artifacts for the Data Science Lifecycle: A Comprehensive Overview,3.81,6.34,4.83,5.38,4.68,4.39,7.36,3.56,3.91
On the Application of SCRUM in Data Science Projects,4.01,2.11,3.82,4.62,3.4,3.34,3.9,3.19,4.65
Use of Artificial Intelligence Smart Tools in Projects,6.21,9.86,7.12,5.38,5.53,17.93,8.66,6.13,7.09
Strategic Management for HEIs based on Data Analytics: literature review Case study UISRAEL; [Gestión Estratégica para IES basado en Analítica de Datos: revisión de literatura Caso de estudio UISRAEL],6.41,7.04,6.36,5.38,5.11,4.57,6.93,4.17,6.6
"Computer vision applications in construction: Current state, opportunities & challenges",3.21,5.63,4.07,2.69,4.26,5.1,4.33,4.05,4.89
Developing Transversal Skills and Strengthening Collaborative Blended Learning Activities in Engineering Education: A Pilot Study,4.41,3.52,5.6,4.62,5.32,4.92,3.9,4.66,6.85
BUILDING A CONCEPTUAL FRAMEWORK FOR USING BIG DATA ANALYTICS IN THE BANKING SECTOR,6.61,7.75,6.87,6.54,5.96,5.62,7.36,6.5,7.82
Issues and Challenges of the Data Analytics Development Project in the Center of Information System and Financial Technology,5.41,9.15,5.6,6.92,4.89,5.45,7.36,3.56,5.62
Considerations in the Selection of a Forensic LIMS,5.41,4.93,7.12,6.15,5.53,5.45,4.76,4.91,5.62
Public relations in the age of data: corporate perspectives on social media analytics (SMA),4.61,5.63,4.58,7.31,5.11,4.75,5.19,4.66,6.85
Critical Success Factors of Business Intelligence Systems Implementation,6.81,7.04,6.36,8.08,4.89,5.1,7.36,4.05,11.25
"DTESI 2022 - Proceedings of the 7th International Conference on Digital Technologies in Education, Science and Industry",3.01,3.52,3.82,2.69,4.04,3.34,3.46,3.56,4.4
Amalgamation of Business Intelligence with Corporate Strategic Management,4.41,7.04,5.85,6.54,4.68,4.92,4.76,4.42,5.87
The Progress of Business Analytics and Knowledge Management for Enterprise Performance Using Artificial Intelligence and Man-Machine Coordination,6.41,6.34,6.62,6.54,5.53,6.5,6.49,4.66,5.62
The Risk Management Process for Data Science: Gaps in Current Practices,3.21,4.93,3.56,4.62,3.4,2.99,5.19,3.93,4.4
"A critical review of text-based research in construction: Data source, analysis method, and implications",3.41,3.52,4.58,3.85,3.83,4.75,4.33,3.93,5.38
A Natural Language Processing-Based Approach for Clustering Construction Projects,4.01,4.23,5.6,5.38,5.74,5.8,3.9,4.91,5.38
HRSE: Reframing the Human Resource Management with MBSE,5.41,5.63,5.85,6.15,5.74,6.5,6.49,4.42,6.85
Driving Project Efficiency and Cost Control in Nigeria's Oil and Gas Industry,8.42,7.04,9.16,11.15,8.72,9.31,9.96,6.99,10.02
Investigating the Role of Critical Success Factors in Achieving the Success of Agile Projects in the Gaza Strip,5.21,6.34,8.91,7.69,8.3,8.08,5.63,6.13,9.05
Integrated knowledge visualization and the enterprise digital twin system for supporting strategic management decision,6.01,8.45,7.63,7.69,7.23,6.33,5.63,6.13,8.31
Improving Project Management Decisions With Big Data Analytics,4.21,5.63,6.87,4.62,5.53,5.98,5.19,3.93,5.62
Modern HR Analytics: Digital Opportunities in Assessing the Effectiveness of Personnel Management,3.81,7.04,5.85,5.38,4.04,5.45,6.06,4.66,4.4
Use of Big Data Analysis in Data Management Aspects,6.21,8.45,5.6,6.15,6.6,6.33,6.06,5.77,7.58
A Capability-Based Method for Modeling Resilient Data Ecosystems,3.41,2.82,5.34,4.62,4.47,4.39,3.9,4.17,4.16
"Determinants of the use of predictive models in the management of investment portfolios, on the example of KGHM Polska Miedz S.A.",3.61,3.52,9.92,4.62,4.04,4.75,4.33,3.56,5.87
Smart University: Digital Development Projects Based on Big Data,5.41,3.52,7.12,6.54,5.11,5.1,5.63,5.15,6.36
Application of AHP method for project selection in the context of sustainable development,5.61,11.27,6.62,4.62,5.11,6.33,6.06,4.91,6.85
Business Intelligence Approach and Sentiment Analysis as a Management Strategy Applied to Study Customer Satisfaction in the Hospitality Sector,5.01,9.15,7.38,6.92,4.04,4.92,5.63,5.03,6.6
Thriving information system through business intelligence knowledge management excellence framework,6.01,10.56,7.12,6.54,7.02,5.98,6.93,5.28,8.31
"16th International Scientific-practical Conference on Mathematical Modeling and Simulation of Systems, MODS 2021",6.01,9.15,8.65,7.31,7.87,6.15,7.36,5.4,8.31
SPMM: A Model Taxonomy for Designing and Managing Quality System,6.01,5.63,8.65,8.08,7.23,6.68,6.49,5.77,8.8
Artificial Intelligence and Machine Learning Used as an Enabler for Dynamic Risk Management,10.42,11.97,10.94,9.62,9.15,9.67,10.39,9.2,11.98
Nine Questions to Evaluate a Data Science Team's Process: Exploring a Big Data Science Team Process Evaluation Framework Via a Delphi Study,4.41,4.23,4.07,5.38,4.26,4.92,8.23,3.44,4.4
Bridging Equipment Reliability Data and Risk-Informed Decisions in a Plant Operation Context,7.41,4.93,10.18,5.38,5.32,7.21,8.23,5.52,6.6
Artificial Intelligence and Analytics for Better Decision-Making and Strategy Management,6.81,9.86,6.62,6.15,5.11,7.03,9.96,5.52,7.82
Corruption in Large Government Projects Not Only Inflates the Budget But Reduces Managerial Effectiveness,3.61,4.93,3.56,4.23,3.83,4.75,6.06,4.17,4.4
Technology in the Industrial Revolutions and Its Impact on the Key Performance Indicators of Organizations,6.81,7.75,12.98,10.77,9.15,8.61,9.09,6.87,6.6
Competency Model for Programming Courses in Information Technology Education (ITE) Programs from Industry Perspective: A Delphi Method,5.61,4.23,5.6,6.54,5.53,6.33,8.66,4.42,8.07
ARTIFICIAL INTELLIGENCE AND PROJECT MANAGEMENT. PROSPECTIVE ANALYSIS IN DECISION MAKING; [LA INTELIGENCIA ARTIFICIAL Y LA DIRECCIÓN DE PROYECTOS. ANÁLISIS PROSPECTIVO EN LA TOMA DE DECISIONES],4.61,3.52,5.09,5.38,4.89,3.87,5.19,2.82,5.38
Implementability of a Process Approach to Strategic Management in the Conditions of Digitalization,7.21,8.45,8.4,8.08,7.23,7.56,8.23,6.87,9.05
Fatigue Life Prediction of Reinforced Concrete Using Artificial Neural Network,5.21,5.63,7.89,5.0,5.53,5.62,2.16,5.15,4.65
Mapping Relevant Petroleum Engineering Skillsets for the Transition to Renewable Energy and Sustainable Energy,7.82,9.15,7.89,7.69,5.53,7.03,9.09,5.4,8.56
Evaluating the critical success factors of data intelligence implementation in the public sector using analytical hierarchy process,4.41,4.23,5.6,5.0,4.68,4.39,6.49,4.05,7.33
Empirically Derived Use Cases for Software Analytics,5.21,7.75,5.34,5.38,6.17,6.15,6.49,4.91,7.33
Strategic Design as an Effective Tool for Managing Digital Development of a Company,2.61,2.82,4.83,5.0,3.4,4.04,3.9,3.8,4.4
Alleviating Directional Well Trajectory Problems via Data Analytics,7.21,7.75,8.65,7.31,7.02,8.96,6.49,5.89,8.56
Wind Energy System: Data Analysis and Operational Management,4.21,4.93,7.12,6.54,5.32,6.68,5.19,4.91,6.36
"A Complete Overview of Analytics Techniques: Descriptive, Predictive, and Prescriptive",7.41,6.34,6.87,5.77,8.09,6.85,6.49,6.13,9.05
OpenCEMS: An Open Solution for Easy Data Management in Connected Environments,3.61,4.93,5.6,4.23,4.26,5.8,5.19,4.54,4.16
Can big data analytics help organisations achieve sustainable competitive advantage? A developmental enquiry,4.01,6.34,5.09,6.92,5.11,4.39,5.63,4.91,6.85
Integrating a Project Risk Model into a BI Architecture,4.81,9.86,5.85,7.31,5.32,5.45,7.79,7.98,6.85
Railway supply chain excellence through the mediator role of business intelligence: knowledge management approach towards information system,7.62,8.45,7.89,10.0,6.81,7.21,10.39,5.89,10.02
Artificial Intelligent Technologies for the Construction Industry: How Are They Perceived and Utilized in Australia?,7.01,6.34,6.11,5.0,4.47,5.8,5.63,5.52,5.87
"18th EAI International Conference on Computer Science and Education in Computer Science, CSECS 2022",6.41,9.86,9.41,7.31,7.66,6.85,8.66,6.5,8.07
TMC 2021: 2021 International Workshop on Talent and Management Computing,7.21,10.56,7.12,7.31,5.53,5.62,9.96,4.91,9.05
Towards a Continuous Process Model for Data Science Projects,3.81,5.63,2.8,4.23,3.4,4.22,5.19,3.31,5.13
Concept for Enabling Customer-oriented Data Analytics via Integration of Production Process Improvement Methods and Data Science Methods,5.21,7.04,6.36,7.31,5.53,6.15,5.63,4.29,6.11
Business analytics in service operations—Lessons from healthcare operations,4.61,4.93,5.09,4.62,4.47,3.69,6.93,3.56,5.87
Smart and Emerging Technologies: Shaping the Future of the Industry and Offsite Construction,8.02,8.45,8.4,7.31,7.45,6.5,9.96,5.64,9.29
Strategic management to model profitability of the primary dairy sector in Colombia,8.82,8.45,11.7,10.0,8.94,9.67,11.26,8.22,11.74
"25th World Multi-Conference on Systemics, Cybernetics and Informatics, WMSCI 2021",6.01,5.63,6.62,6.92,6.81,5.8,9.52,4.54,5.62
Strategic Engineering Applied to Complex Systems within Marine Environment,4.21,5.63,6.62,5.0,5.53,4.92,4.33,3.93,6.6
Optimizing Visual Studio Code for Python Development: Developing More Efficient and Effective Programs in Python,2.61,4.23,4.07,6.15,3.83,3.69,5.19,3.56,4.16
Application of Big Data Technology in Cost Management and Control in Construction Project,2.81,3.52,3.56,3.08,2.98,3.34,3.03,2.7,4.4
America’s major league soccer: artificial intelligence and the quest to become a world class league,15.63,19.72,15.52,17.31,13.83,13.36,18.61,14.23,18.09
A Report on the Second International Workshop on Software Engineering for Artificial Intelligence (SE4AI 2021),6.41,10.56,7.38,5.0,7.45,7.03,4.33,5.52,7.09
The application of predictive analysis in decision-making processes on the example of mining company's investment projects,3.61,4.23,7.89,4.23,4.04,4.75,4.33,4.17,6.6
Expert-supported Data Science Projects for Production Integration of Expert Knowledge through Process Optimization Methods; [Expertengestützte Data-Science-Projekte für die Produktion Integration von Expertenwissen durch Prozessoptimierungsmethoden],5.01,4.23,5.34,5.38,4.47,5.1,5.63,3.93,5.38
The Innovation of Tourism Management Mode Based on Computer,3.81,7.75,5.34,5.38,4.89,4.57,6.49,3.44,5.87
Research on Intelligent Prediction and Forecast Model for Construction Period of Transmission and Transformation Engineering Based on BP Neural Network,5.41,4.93,5.6,3.08,5.32,4.39,4.76,3.8,6.6
Feature ranking and aggregation for bug triaging in open-source issue tracking systems,4.21,7.04,6.36,3.85,5.53,6.33,6.49,5.15,6.11
Learning Experiences of Social Science Students in an Interdisciplinary Computing Minor,7.62,7.75,8.65,7.69,9.15,9.14,7.79,6.63,9.05
Beyond Business Analytics and Strategic Management: A Critical Review,4.01,4.23,3.31,3.85,3.19,2.99,3.03,2.7,2.93
Improving Project Control by Utilizing Predictive Data Analytic Models,4.41,2.82,4.33,3.46,12.77,3.87,4.33,3.68,4.4
Improving Effectiveness and Efficiency,3.41,2.82,4.07,4.23,3.19,3.69,3.03,2.7,3.91
Application of Blockchain in Construction Inspection Activities,2.4,1.41,2.54,3.08,2.55,2.64,3.03,2.58,2.44
Strategic engineering applied to complex systems within marine environment,4.61,6.34,6.87,5.0,5.74,5.1,4.76,4.05,6.85
Risk assessment of innovative projects: Development of forecasting models,6.21,8.45,18.83,5.38,7.45,7.56,6.49,6.13,7.58
Job analyses of earth science data librarians and data managers,3.61,3.52,3.56,4.62,4.04,4.57,6.49,3.56,4.89
Research on Integrated Scheduling Algorithm of Inbound and Depart Flights in Airport Based on Integrated Operation,2.81,4.23,4.07,3.46,4.04,3.69,4.33,3.31,4.16
Estimating production and warranty cost at the early stage of a new product development project,5.41,7.75,6.62,5.38,4.89,5.45,6.06,4.66,6.85
Risks of Data Science Projects - A Delphi Study,2.81,4.23,4.58,3.85,3.19,6.68,3.46,3.31,3.42
Big data project management approaches in the Czech Republic,5.61,5.63,5.6,6.92,5.32,5.98,5.63,3.56,6.6
MinViME/Minimum Viable Model Estimator[Formula presented],2.81,4.23,1.78,1.54,2.34,2.28,3.03,2.58,2.44
Innovation and investment factors in the state strategic management of social and economic development of the country: Modeling and forecasting,6.41,7.75,10.43,6.54,7.45,6.68,7.79,5.4,7.58
Neural networks based software development effort estimation: A systematic mapping study,5.21,4.23,7.12,5.38,5.74,6.5,5.19,5.15,5.38
The role of DMSS analytics tools in software project risk management,0.4,0.0,0.51,0.77,0.64,1.05,0.43,0.98,0.73
The case for information fiduciaries: The implementation of a data ethics checklist at Seattle Children's Hospital,5.01,6.34,5.6,4.23,4.04,4.04,6.93,3.93,4.16
Training the next industrial engineers and managers about industry 4.0: A case study about challenges and opportunities in the covid-19 era,7.41,7.75,7.38,8.08,6.6,8.79,8.23,5.52,9.78
Project management for a machine learning project,3.41,2.82,3.82,1.92,2.98,2.81,3.46,2.82,4.4
"Knowledge Project - Concept, Methodology and Innovations for Artificial Intelligence in Industry 4.0",5.21,9.86,6.11,5.77,5.11,6.15,8.23,4.91,7.09
Managing and Composing Teams in Data Science: An Empirical Study,4.81,4.93,4.83,5.0,4.89,4.04,9.52,4.66,6.85
Deep learning with small datasets: using autoencoders to address limited datasets in construction management,6.41,5.63,8.65,5.77,7.87,6.68,6.49,6.01,6.6
Innovative Application of Computer Technology in Engineering Management,3.61,4.23,5.09,4.23,4.26,4.04,4.33,3.19,6.6
"Data Science, Decision Theory and Strategic Management: A Tale of Disruption and Some Thoughts About What Could Come Next",5.41,5.63,4.33,7.69,5.11,5.62,5.19,3.8,6.6
Big Data analytics in Agile software development: A systematic mapping study,7.62,7.04,8.91,10.0,7.87,8.26,9.09,6.13,8.8
The Coaching Black Box: Risk Mitigation during Change Management,4.81,6.34,5.6,6.92,4.89,5.27,6.06,5.15,6.6
Fifty years of information management research: A conceptual structure analysis using structural topic modeling,4.01,4.93,6.36,5.77,5.11,4.39,6.93,4.79,6.36
Application Analysis of Computer Technology in Construction Project Schedule Control in Information Age,4.21,2.82,4.83,3.85,5.11,5.27,4.76,4.29,5.87
Using strategy analytics to measure corporate performance and business value creation,5.21,8.45,6.62,8.46,6.38,7.73,7.36,5.52,8.07
Data Visualization on the Life Cycle of Science and Technology Projects,5.81,7.04,7.12,6.92,7.66,6.15,7.79,6.01,7.58
Project Management for a Machine Learning Project,3.41,2.82,3.82,2.31,2.98,2.81,3.9,2.94,4.4
Design of Project Cost Information Management System Based on Intelligent Construction,2.61,2.11,2.29,3.08,2.98,2.46,2.6,2.82,3.91
Digital transformation of the construction design based on the building information modeling and internet of things,3.81,2.11,5.85,4.62,4.68,4.57,6.49,3.68,4.16
Features of creating of employees' working hours interactive system,4.01,2.82,7.12,4.23,5.53,4.57,4.33,4.29,5.38
"8th International Conference on Augmented Reality, Virtual Reality and Computer Graphics, AVR 2021",4.01,7.75,4.58,3.85,4.89,4.57,5.19,4.05,5.62
An investigation into the impact of artificial intelligence on the future of project management,5.21,2.11,4.58,5.77,5.32,5.1,6.06,3.68,5.38
Improving engineering students’ writing/presentation skills using laboratory/mini-project report,4.01,1.41,4.33,5.38,4.26,4.57,4.76,4.05,3.42
Using Technology to Structure and Scaffold Real World Experiential Learning in Distance Education,4.81,3.52,4.07,5.0,4.68,4.92,5.19,4.05,3.91
Digital inclusion in Nothern England: Training women from underrepresented communities in tech: A data analytics case study,6.41,6.34,5.6,6.54,5.96,5.62,4.33,4.42,6.6
"Interdisciplinary Conference on Innovation, Design, Entrepreneurship, And Sustainable Systems, IDEAS 2019",5.21,9.15,6.62,6.54,5.32,4.39,7.79,5.28,6.85
Competitive intelligence: a prescription for US health-care?,5.41,7.04,7.63,7.31,6.38,5.8,7.79,6.13,9.05
Factors that influence the selection of a data science process management methodology: An exploratory study,5.01,9.15,7.12,7.69,6.38,5.45,7.79,3.93,8.07
Data-Driven Machine Learning Approach to Integrate Field Submittals in Project Scheduling,6.21,2.82,5.85,5.38,5.32,4.57,5.19,4.79,5.13
Machine Learning Approach to Failure Mode Prediction of Reinforced Concrete Infilled Frames,5.81,4.93,7.89,4.23,6.81,7.56,6.49,5.52,6.85
The promise of implementing machine learning in earthquake engineering: A state-of-the-art review,7.21,7.04,10.18,8.08,8.94,8.79,6.49,6.99,10.02
Bayesian belief network-based project complexity measurement considering causal relationships,5.41,7.75,8.14,6.15,7.02,6.33,6.93,5.64,7.09
Improving agile development from perspective of design-informing model,5.41,2.82,5.6,6.54,5.11,5.45,4.76,4.29,4.65
"Innovation, Social Networks, and Service Ecosystems: Managing Value in the Digital Economy",5.41,7.75,5.09,8.08,5.53,4.92,7.79,5.4,5.87
Teaching software engineering methods with agile games,5.21,4.23,6.36,6.54,4.89,7.03,6.49,5.03,7.82
Core competencies for clinical informaticians: A systematic review,4.81,4.23,7.38,6.54,5.96,5.45,8.23,5.03,6.6
Leveraging cloud-based analytics in active well defense projects and automated pressure response analyses,7.01,8.45,9.92,9.23,8.72,9.84,8.66,6.5,8.56
Using hybrid modelling to simulate and analyse strategies,6.21,9.15,8.65,8.85,6.81,8.61,7.36,6.13,10.02
Software requirements elicitation techniques selection method for the project scope management,6.61,7.04,7.63,7.31,6.81,7.73,9.09,5.52,6.85
Innovation Project Risk Analytics: A Preliminary Finding:  Use risk analytics for new product development for high-risk innovation projects.,0.6,1.41,1.02,0.77,0.85,1.23,0.87,1.1,1.22
A comparison of computational thinking approaches in hci-seo design: Implications to teaching and learning ste(a)m,3.21,2.11,3.31,4.23,3.4,3.51,3.46,3.31,4.4
Midst: An enhanced development environment that improves the maintainability of a data science analysis,4.41,2.11,3.31,3.85,4.89,3.34,4.76,3.93,5.13
Multi objective optimization of mix proportion of foam concrete,4.01,2.82,5.6,5.0,5.32,4.92,4.33,4.05,2.44
Project Management for Innovation Projects – State of Art,3.21,4.93,4.33,5.38,4.47,5.1,5.19,3.8,4.89
Construction Collaborative Management Method Based on BIM and Control Calculation,4.61,4.23,4.58,5.0,4.89,4.39,6.49,4.42,6.6
The performance effects of big data analytics and supply chain ambidexterity: The moderating effect of environmental dynamism,6.81,8.45,7.63,10.77,7.02,6.5,8.66,5.77,9.54
DIY Smart Home: The Development of an Exemplary Internet of Things Infrastructure for Computer Science Education,3.01,4.23,5.09,4.62,4.04,4.92,9.09,4.05,5.13
4D inspection: A comprehensive platform to digitize pipeline construction inspection and generate data driven continuous improvement,5.41,3.52,6.36,5.38,5.74,6.68,6.06,5.03,7.58
Digitalization of a Systematic Literature Review Process – Lean Startup and Data Analytics Solution for Scholars,4.21,2.82,5.34,6.15,4.89,4.57,6.06,4.29,6.6
Managing complex engineering projects: What can we learn from the evolving digital footprint?,8.22,9.15,10.18,10.38,7.23,8.61,9.09,6.75,9.29
Data Science Roadmapping: Towards an Architectural Framework,5.61,7.75,4.58,6.15,6.17,5.62,20.78,4.17,6.6
Seeking 'strategy' in business intelligence literature: Theorizing BI as part of strategy research,3.61,4.93,4.58,4.62,2.55,3.16,5.19,2.94,3.67
Data science in the design of public policies: dispelling the obscurity in matching policy demand and data offer,7.82,8.45,6.87,10.0,7.45,7.56,9.96,6.5,8.8
The impact of entrepreneurship orientation on project performance: A machine learning approach,5.41,5.63,6.62,5.77,7.02,5.98,6.93,4.79,7.09
A framework for big data integration within the strategic management process based on a balanced scorecard methodology,4.61,4.93,5.09,6.92,3.83,2.99,4.76,5.15,4.89
Understanding the intellectual structure and evolution of Competitive Intelligence: a bibliometric analysis from 1984 to 2017,4.01,4.93,6.36,6.92,4.68,4.75,6.93,4.42,4.65
Study on foundation pit construction cost prediction based on the stacked denoising autoencoder,5.41,4.23,7.12,4.62,7.02,5.45,3.46,5.03,6.6
Knowledge Management Systems for Structural Engineering Design in the Era of Emerging Technological Advancements,7.62,7.75,8.4,10.38,8.09,6.85,11.26,5.4,8.8
Proposed metamodels transformation from Predictive methodologies to Agile methodologies,2.81,2.82,3.31,3.08,2.34,3.69,3.03,2.09,4.65
Data science and big data technologies role in the digital economy,3.41,4.23,3.31,3.46,3.4,3.34,3.9,3.56,4.65
Big data analytics in innovation processes: which forms of dynamic capabilities should be developed and how to embrace digitization?,5.61,4.93,7.63,7.31,5.96,5.1,9.96,10.31,8.56
A future prospect for European collaboration on advanced analytics in economy and society,7.01,6.34,6.11,5.77,6.17,5.27,6.06,4.79,6.11
Factors Affecting Knowledge Sharing Intentions among Construction Workers: The Case of Lebanon,4.81,6.34,5.09,5.77,5.32,5.45,4.76,3.8,5.13
Data Science Team Roles and Need of Data Science: A Review of Different Cases,3.81,3.52,3.82,3.08,2.77,2.99,3.46,2.7,4.16
Empowering Team Science across the Translational Spectrum with the UAB Biomedical Research Infrastructure Technology Enhancement (U-BRITE),3.01,4.23,3.82,5.0,4.47,4.04,4.76,3.44,4.4
Mo.Re.Farming: A hybrid architecture for tactical and strategic precision agriculture,5.41,7.04,5.85,8.85,4.04,4.75,9.09,4.42,6.36
A framework for managing uncertainty in information system project selection: an intelligent fuzzy approach,8.62,14.79,10.18,8.46,8.3,9.14,9.96,7.61,10.27
Iot-based energy analytic platform for foundry units,2.61,1.41,1.78,3.08,3.4,2.99,6.93,2.7,3.67
"Data science and artificial intelligence in project management: The past, present and future",3.01,2.11,4.07,3.46,3.19,3.34,3.46,3.31,4.4
Measuring dynamic capabilities in new ventures: exploring strategic change in US green goods manufacturing using website data,6.81,9.86,7.12,11.54,7.23,6.85,8.66,5.77,8.56
Automation of Rail Gate Control with Obstacle Detection and Real Time Tracking in the Development of Bangladesh Railway,3.81,4.23,4.58,3.46,4.47,5.8,6.49,3.56,4.4
Comparison of mining prediction with real mining as a tool for strategic management,3.21,4.93,5.85,3.85,3.83,3.69,3.03,3.44,4.65
Convergence and digital fusion lead to competitive differentiation,9.62,12.68,14.5,17.69,10.21,8.96,16.45,10.18,12.96
Sustainable competitive advantage driven by big data analytics and innovation,7.21,8.45,7.89,8.46,6.6,5.45,7.79,5.52,6.85
Data Mining and Analytics for Construction Project Cost Data Management System,2.81,2.82,2.54,2.69,3.19,2.99,3.9,2.94,4.16
Increasing the viability of project selection and prioritization: The role of business analytics and sensemaking,5.61,11.97,6.11,7.69,4.68,4.57,4.33,4.79,7.09
Analyzing the adoption of recent IT technologies in undergraduate engineering project course,7.41,7.04,7.12,8.08,6.81,7.38,5.19,4.54,9.05
Design requirements of a modern business Master’s degree course: perspectives of industry practitioners,7.01,7.04,6.36,8.85,6.81,6.85,9.09,6.75,8.07
Business intelligence for generating comprehensive report in electronic completion and handover,4.61,4.93,5.6,5.77,4.47,4.04,3.46,3.44,3.18
Project Cost Prediction of Overhead Line Based on Big Data Analysis of Power Grid Engineering,5.41,4.93,6.36,2.69,5.53,5.45,6.06,4.54,6.36
Machine Learning of Concrete Temperature Development for Quality Control of Field Curing,5.01,5.63,5.6,4.62,5.53,3.16,3.03,4.17,4.4
Performance Evaluation of High-Tech Enterprises’ Science and Technological Input Based on BP Neural Network,5.01,4.23,6.11,5.0,5.11,4.57,7.36,4.29,5.87
A Probabilistic Approach for Predicting the Fatigue Life of Concrete,3.41,2.82,5.34,3.08,4.26,4.22,3.9,3.44,2.69
"A review of accident prediction in construction: Tools, issues, and solutions",3.21,4.23,5.09,3.85,4.47,5.1,4.33,3.93,4.89
Recent Technologies in Construction; A Novel Search for Total Cost Management of Construction Projects.,5.01,5.63,5.6,4.62,4.68,4.57,7.79,4.17,7.09
An improved extreme gradient boosting approach to vehicle speed prediction for construction simulation of earthwork,3.21,2.11,4.58,2.31,4.47,4.39,2.6,3.68,3.18
Predicting the success of news: Using an ML-based language model in predicting the performance of news articles before publishing,6.01,8.45,7.89,8.46,6.17,6.85,6.06,5.28,7.82
Geospatially distributed safety and performance benefits for projects of a transportation system,5.41,5.63,6.62,6.15,6.17,5.8,7.36,5.03,6.36
Construction cost management strategy based on BIM technology and neural network model,4.61,5.63,5.85,5.77,6.81,5.98,5.19,4.54,4.65
Developing a channel strategy decision support framework for a diesel engine supplier in Mozambique,6.81,11.27,9.16,10.0,6.6,7.03,8.66,5.77,7.09
"10th Annual International IEOM Conference, IEOM 2020",8.02,11.97,8.4,5.77,7.45,6.68,8.66,4.54,9.78
How mega is the mega? Exploring the spillover effects of Wechat using graphical model,3.81,5.63,4.07,5.0,4.04,3.16,2.6,4.17,5.13
