Title,Authors,Year,Cited by,Abstract,DOI,Link,EID,Criterios,Publicación,Cómo aporta la analítica?,PUBLISHER,H-Index,Quartiles,Nota,URL,
Capabilities to achieve business intelligence agility - Research model and tentative results,"Knabke T., Olbrich S.",2016,2,"The class of business intelligence (BI) systems is used as a basis for decision making in most big organizations. Extensive initiatives have been launched to accomplish adequate and timely decision support as an important factor to achieve and sustain competitive advantage. Within turbulent market environments it is challenging to keep up a distinguishable long-term strategy while quickly reacting to changing circumstances. This area of conflicts holds particularly true for BI as it is originally used to retrospectively reflect an organization's performance and built upon stability and efficiency. Therefore, we investigate how dynamic BI capabilities, i.e. adoption of assets, market understanding and intimacy as well as business operations, impact the agility of BI. We approach our goal from a dynamic capability perspective. Starting from a literature review of dynamic capabilities of information systems (IS) and BI, we propose hypotheses to connect dynamic BI capabilities and BI agility. Derived hypotheses based on existing literature will be tested in our prospective research agenda. A small pre-study showed promising results. In-memory (IM) technology seems to be a technology enabler for agile BI. However, adoption of BI assets and the focus on market orientation and business operations may even intensify the positive effect.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011112286&partnerID=40&md5=4aabc434f65e0dc904ca0a00ad7afcbf,2-s2.0-85011112286,,,,,,,,,
Achieving decision-making quality and organisational agility in innovation portfolio management in telecommunication 4.0,"Kurniawan R., Hamsalb M.",2019,2,"Innovation portfolio management (IPM) decision-making capability has become one of the most important organisational competencies to survive and be sustained in the hyper-competitive market of the telecommunications equipment industry. As Telecommunication 4.0 brings up new challenges and complexities created by open innovation and integrated hardware and software, there is a necessity to further demonstrate how organisations leverage networking with partners and exploit internal organisational structural flexibility to fully gain IPM decision-making quality and organisational agility. This study aims to explore how IPM decision-making quality and organisational agility are influenced by a business intelligence system with the capability of providing profound market knowledge and orchestrating the organisations' networking capabilities in leveraging external capabilities with internal factors embedded in a nimble organisational structure that subsequently influences decision-making accuracy. Furthermore, the relationship of antecedents-a business intelligence system, networking capability, and nimble organisational structure-is elaborated in our conceptual research model. Exploratory case studies with four telecommunication equipment companies in Indonesia and a literature review are used to examine the relationship between IPM decision-making quality antecedents. Deriving from information processing theory, dynamic capability, and resource-based theory, the originality of this study lies in how organisations exploit not only internal resources and flexible organisational structure, but also in how it accesses, configures, and leverages external network resources embedded in business partners to come up with full access to IPM decision-making quality in an open innovation era. © 2019 Primrose Hall Publishing Group.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078291308&partnerID=40&md5=487ce02c1dcadec0d092d6ed04478f9d,2-s2.0-85078291308,,,,,,,,,
Deep learning for decision making and the optimization of socially responsible investments and portfolio,"Vo N.N.Y., He X., Liu S., Xu G.",2019,51,"A socially responsible investment portfolio takes into consideration the environmental, social and governance aspects of companies. It has become an emerging topic for both financial investors and researchers recently. Traditional investment and portfolio theories, which are used for the optimization of financial investment portfolios, are inadequate for decision-making and the construction of an optimized socially responsible investment portfolio. In response to this problem, we introduced a Deep Responsible Investment Portfolio (DRIP) model that contains a Multivariate Bidirectional Long Short-Term Memory neural network, to predict stock returns for the construction of a socially responsible investment portfolio. The deep reinforcement learning technique was adapted to retrain neural networks and rebalance the portfolio periodically. Our empirical data revealed that the DRIP framework could achieve competitive financial performance and better social impact compared to traditional portfolio models, sustainable indexes and funds. © 2019 Elsevier B.V.",10.1016/j.dss.2019.113097,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069803699&doi=10.1016%2fj.dss.2019.113097&partnerID=40&md5=84486f00e58eea319ebf1004673a5c6e,2-s2.0-85069803699,,,,,,,,,
Control of informational impacts on project management,Teslia Y.; Khlevnyi A.; Khlevna I.; Gerasymenko S.,2016,16,"In the paper, the impacts on project information space on analytical data basis are analyzed and distinguished. There are scientifically justified the interactions of factors' groups, which cause impacts on the project team and the success of the project. Here is presented estimation method of joint action of impacts' groups on the reaction in project management systems; desirable combinations of impacts that provide efficiency of project management and its life cycle are identified. © 2016 IEEE.",10.1109/DSMP.2016.7583584,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994274966&doi=10.1109%2fDSMP.2016.7583584&partnerID=40&md5=c576a8804289936803b70a546f78b0f4,2-s2.0-84994274966,,,,,,,,,
Towards effective AI-powered agile project management,"Dam H.K., Tran T., Grundy J., Ghose A., Kamei Y.",2019,15,"The rise of Artificial intelligence (AI) has the potential to significantly transform the practice of project management. Project management has a large socio-technical element with many uncertainties arising from variability in human aspects, e.g. customers' needs, developers' performance and team dynamics. AI can assist project managers and team members by automating repetitive, high-volume tasks to enable project analytics for estimation and risk prediction, providing actionable recommendations, and even making decisions. AI is potentially a game changer for project management in helping to accelerate productivity and increase project success rates. In this paper, we propose a framework where AI technologies can be leveraged to offer support for managing agile projects, which have become increasingly popular in the industry. © 2019 IEEE.",10.1109/ICSE-NIER.2019.00019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072067199&doi=10.1109%2fICSE-NIER.2019.00019&partnerID=40&md5=945d31fe54fb563ec31aadd43782043b,2-s2.0-85072067199,,,,,,,,,
Quantitative planning and risk management of agile software development,Ghane K.,2017,13,"The Agile Software Development methodologies has enjoyed a widespread acceptance in the software development industry. While iterative and incremental approach of agile methodologies are the main attractions, at the same time they make estimation and predictability of agile software projects a challenge. Delivering workable software in short cycles helps with collecting more heuristic data as compared to traditional waterfall methodologies. Such data can be used as quantitative metrics for time and effort estimation that in turn can help with risk mitigation and risk avoidance. Although traditional agile formulations and recommendations place emphasis on individuals and interactions over processes and tools, this paper considers processes and tools essential in agile processes of today's complex software systems and distributed teams. Emphasis on processes and tools enables agile software projects to produce project metrics that can be effectively used in predictive analytics and risk management. The system that is introduced here emphasizes on quantitative approach to agile project planning and introduces a risk management model that produces risk metrics that are used to help with risk avoidance and risk mitigation. The risk metrics and the project simulation model are used to adjust project factors such as time, cost and scope during lifespan of project. Such adjustments come from recommender system that proposes changes to a wide range of project parameters for risk mitigation and risk avoidance. © 2017 IEEE.",10.1109/TEMSCON.2017.7998362,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028543368&doi=10.1109%2fTEMSCON.2017.7998362&partnerID=40&md5=17a03abedd1a6aebacba5e0a16b42935,2-s2.0-85028543368,,,,,,,,,
Estimating the value of decisions relating to managing and developing software-intensive products and projects,"Mendes E., Turhan B., Rodríguez P., Freitas V.",2015,11,"The software industry's current decision-making relating to product/project management and development is largely done in a value neutral setting, in which cost is the primary driver for every decision taken. However, numerous studies have shown that the primary critical success factor that differentiates successful products/projects from failed ones lie in the value domain. Therefore, to remain competitive, innovative and to grow, companies must change from cost-based decision-making to value-based decision-making where the decisions taken are the best for that company's overall value creation. Our vision to tackle this problem and to provide a solution for value estimation is to employ a combination of qualitative and machine learning solutions where a probabilistic model encompassing the knowledge from different stakeholders will be used to predict the overall value of a given decision relating to product management and development. This vision drives the goal of a 3-year research project funded by the Finnish Funding Agency for Technology and Innovation (Tekes), with the participation of several industry partners. © 2015 ACM.",10.1145/2810146.2810154,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947546011&doi=10.1145%2f2810146.2810154&partnerID=40&md5=50643f625dbb45552aa8b950f79b6603,2-s2.0-84947546011,,,,,,,,,
Performance indicators in software project monitoring: Balanced scorecard approach,Kazi Lj.; Radulovic B.; Kazi Z.,2012,10,"Balanced scorecard is one of most used methodologies for performance measurement in enterprises and non-profit organizations. It presents a general framework that has been applied more precisely by many scientists and practitioners. It has been adapted to particular performance measurement systems. These monitoring systems are based on collecting data and analysis of these data. This paper presents overview of implementing balanced scorecard in IT project management. Framework for software project success monitoring, based on PRINCE2 methodology and balanced scorecard is proposed. Key performance indicators as measures to be performed upon data collected during software project implementation are defined. This way, analytics to be performed upon data according to specified key performance indicators, needed for decision support is enabled. © 2012 IEEE.",10.1109/SISY.2012.6339539,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870708429&doi=10.1109%2fSISY.2012.6339539&partnerID=40&md5=78b4010306d5af73a0e566666c421635,2-s2.0-84870708429,,,,,,,,,
Components of big data analytics for strategic management of enterprise architecture,Ln?ni?ka M.; Máchová R.; Komárková J.; ?ermáková I.,2017,8,The concept of strategic management is currently being under pressure to adopt big data analytics as a tool for improving efficiency of decision- making and monitoring processes in organizations. This paper aims to provide a systematic approach to map the benefits driven by big data analytics in terms of enterprise architecture focusing on the importance for strategic management. The key components are identified and discussed in the context of TOGAF. The findings can be used as a guide to help developers and designers in reframing their enterprise architecture efforts.,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026291825&partnerID=40&md5=062d3edd7133d68800cdcf947861354a,2-s2.0-85026291825,,,,,,,,,
Concept for development project management by aid of predictive analytics,"Schuh G., Riesener M., Dölle C.",2017,7,"Manufacturing companies in high wage countries strive towards shortened development and innovation cycles at decreased costs in order to strengthen their competitive advantage. These goals can be achieved by efficient development projects. However, approaches aiming at designing efficient development processes such as the value stream analysis only analyze development projects retrospectively as well as periodically and therefore do not continuously improve the efficiency of the respective projects themselves. Therefore, a concept is needed to anticipate deviations from the target process and thus inefficiencies within development projects by aid of predictive analytics. To derive a predictive analytics model, neural networks are applied to identify the impact of deviation indicators on the efficiency dimensions time, costs and quality of an activity. Upon reversion, it is possible to monitor the deviation indicators and use the respective indicator values as input for the neural networks. Based on the identified impact of the indicator on the efficiency dimensions, the neural network is able to predict the final values of an activity in terms of time, cost and quality. By comparing the predicted values with the defined target values, the deviation can be determined and preventive measures can be implemented to eliminate inefficiencies. © 2016 Portland International Conference on Management of Engineering and Technology, Inc.",10.1109/PICMET.2016.7806640,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016214645&doi=10.1109%2fPICMET.2016.7806640&partnerID=40&md5=d3466b803925dcdbf4aeaaa72f8e463b,2-s2.0-85016214645,,,,,,,,,
Visualization of a product's life cycles in the common information space on the basis of project management methods,Leonova N.M.; Modyaev A.D.; Kolychev V.D.,2016,6,"In this article a set of visual models developed by the authors and used in making the concept of industrial enterprises automation is considered. The problems of the integrated information support of the product lifecycle are solved by using the visual analytical methods. The visual modeling technology aimed at the use of flat and 3D-scenes in the formation of design decisions for the development of management and process automation, as well as mathematical modeling and decision support that is built by using the concept of a single information space of an industrial enterprise. By using the methods of visual analytics based on the project-oriented approach to management a set of graph-analytical models used in making the configuration of the integrated information environment of modern industrial enterprise is revealed. In the article, they consider visual models and the possibility of their use in the data, functional and structural modeling, planning and project management of creating integrated information systems. The basis of informational integration of lifecycle stages is a product tree which is produced and most intensively used in the stage of design and technological preparation of production. In this paper presented the experience of application and development of visual analytics models in the process of design and creation of integrated automated systems of enterprise management.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007370625&partnerID=40&md5=963511f4d7008d7713222628af6e33e2,2-s2.0-85007370625,,,,,,,,,
Visual analytics in enterprise architecture management: A systematic literature review,"Jugel D., Sandkuhl K., Zimmermann A.",2017,3,"In times of dynamic markets, enterprises have to be agile to be able to quickly react to market influences. Due to the increasing digitization of products, the enterprise IT often is affected when business models change. Enterprise Architecture Management (EAM) targets a holistic view of the enterprise’ IT and their relations to the business. However, Enterprise Architectures (EA) are complex structures consisting of many layers, artifacts and relationships between them. Thus, analyzing EA is a very complex task for stakeholders. Visualizations are common vehicles to support analysis. However, in practice visualization capabilities lack flexibility and interactivity. A solution to improve the support of stakeholders in analyzing EAs might be the application of visual analytics. Starting from a systematic literature review, this article investigates the features of visual analytics relevant for the context of EAM. © Springer International Publishing AG 2017.",10.1007/978-3-319-52464-1_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010430864&doi=10.1007%2f978-3-319-52464-1_10&partnerID=40&md5=141defbbf869f456c56821ab5a3e8920,2-s2.0-85010430864,,,,,,,,,
Data Visualization on the Life Cycle of Science and Technology Projects,Wang Z.; Wang D.; Li Q.,2021,1,"Science and technology project management system is a fundamental tool in modern governments which is required for the effective management of research arrangement, financial resources, project implement and researcher communication. However, despite its successful development, there are still many visualized application scenarios that require customized methods to explore data integration, and to establish visualization of project life cycle. To that end, this paper focuses on science and technology project data model and business data model based on four phases of management workflow. Furthermore, we propose a project life cycle model, a three-layered data structure for combining all the data of a project, to facilitate dynamic integration among project data and business data. In addition, we present a system architecture including its functional layers and data flow, which improves project life cycle visualization, and especially displays the details of project and business data in a prototype web page. This research contributes to project management business visualization by providing data models and system architecture, and helps project managers in making decisions, managing business operations and tracking the progress of tasks. © 2021 IEEE.",10.1109/ICCCBDA51879.2021.9442519,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107708054&doi=10.1109%2fICCCBDA51879.2021.9442519&partnerID=40&md5=693ffc64445e1801ef7c810071331cf5,2-s2.0-85107708054,,,,,,,,,
The application of predictive analysis in decision-making processes on the example of mining company's investment projects,Wach M.; Chomiak-Orsa I.,2021,1,The authors present a method of supporting decision-making processes with the use of predictive analytics. The method is presented with an example of investment project portfolios of a mining company. In the research multiple predictive models have been tested to determine most effective algorithms and key project attributes allowing to predict possible budget deviations. The proposed approach can be applied in other organizations managing projects according to project methodologies with access to structured project data. © 2021 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (https://creativecommons.org/licenses/by-nc-nd/4.0) Peer-review under responsibility of the scientific committee of KES International.,10.1016/j.procs.2021.09.284,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116884237&doi=10.1016%2fj.procs.2021.09.284&partnerID=40&md5=7c1147fcfdbf8b3022ea375c717f7f68,2-s2.0-85116884237,,,,,,,,,
Business Intelligence Solution in Project Monitoring and Control; [Solucão de Business Intelligence na Monitorizacão e Controlo de Projetos],Rosa M.F.; Alturas B.,2020,0,"Due to the need to control and monitor the performance of projects and the inherent need for project managers to provide feedback on the status of their project(s), this study focuses mainly on the planning of a Business Intelligence solution, as an aid in the monitoring and control of projects. In this sense, the EVM (Earned Value Management) technique is used as a method recommended by PMBOK and it is effective in controlling and monitoring projects, to identify the best indicators and develop the proposed Business Intelligence solution for this research. Based on the questionnaires answered by project managers from different sectors and with different experiences, and based on the literature on EVM and dashboards, it was possible to formulate a Business Intelligence solution that allows project managers to evaluate, through a single screen, the status of their project(s). The developed dashboard refers to a dashboard of tactical typology, since its purpose is to measure progress and optimize the process through indicators of action and result, in summary / detailed form with the purpose of improving the analysis by a BI Portal. © 2020 AISTI.",10.23919/CISTI49556.2020.9140916,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089021021&doi=10.23919%2fCISTI49556.2020.9140916&partnerID=40&md5=f670dd674d5304afb347a4e1df03fb69,2-s2.0-85089021021,,,,,,,,,
Quantifying the benefits of investment portfolio optimisation versus prioritisation for asset intensive organisations,"Tamimi I., Beullens P., Sadnicki S.",2016,,"Historically, many organisations have made investment decisions using a conventional ranking and prioritisation process. When prioritising, a fixed score is determined for each investment. This can be a measure of the investment's financial return (e.g. Net Present Value), or possibly a measure of the risk that the investment will mitigate for the organisation (risk score). During prioritisation, the portfolio of investments is ranked by that fixed score, and then those investments that can be executed within the budgetary constraints are selected. Mathematical optimisation using linear programming can improve on prioritisation results and achieve higher value outcomes whilst honouring multiple constraints (e.g. financial, service level, resources, timing, inter-project dependencies, and risk tolerances). Whilst individual organisations have reported significant benefits of using optimisation techniques these results are naturally specific to their operating context. This study seeks to generalise these results and quantify the value obtained by using optimisation techniques on portfolios of asset investments. © 2016 Institution of Engineering and Technology. All rights reserved.",10.1049/cp.2016.1406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047880295&doi=10.1049%2fcp.2016.1406&partnerID=40&md5=5b888cc1a250356a65e2fde63986c901,2-s2.0-85047880295,,,,,,,,,
Applying process mining to support management of predictive analytics/data mining projects in a decision making center,"Escobar M.O.S., Espinosa R.L., Espinosa J.M.M., Noguez Monroy J.J., Solar G.V.",2019,,"A Decision Making Centers (DMC) Environment facilitates the understanding of complex problems and simplifies the decision making process of policy makers and stakeholders by playing out several what if scenarios. One of the key elements in this environment is the management of Predictive Analytics and Data Mining (PADM) techniques required for real-time and accurate representation of data in scenarios. However, there has been a gap in understanding the best practices that facilitate the execution of PADM in environments such as a DMC. In this paper we aim to address this gap. Specifically, we apply process mining techniques to reveal: 1) process flow and executed activities in PADM projects and 2) The relationship and time distribution of activities within a PADM project execution. To this end two successful projects were analyzed in order to find relationships among activities and time metrics during execution. The present study aims to support managers in the execution of large scale PADM projects. © 2019 IEEE.",10.1109/ICSAI48974.2019.9010135,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081986202&doi=10.1109%2fICSAI48974.2019.9010135&partnerID=40&md5=9f180437a05f169861bb6f6d3eee7700,2-s2.0-85081986202,,,,,,,,,
Design of a process mining alignment method for building big data analytics capabilities,"Pfahlsberger L., Mendling J., Eckhardt A.",2021,,"Process mining is a big data analytics technique that supports business process management in an evidence-based way. Nowadays, companies struggle to build the required capabilities that lift process mining beyond technical proof-of-concept implementations. As research on process mining is largely limited to algorithm design and project management recommendations, current research does not understand well how process mining and complementary resources and capabilities can be aligned. By understanding those interrelations, companies learn to leverage their organizational potential during the execution of process mining more effectively and efficiently. In this paper, we address this research gap by using the design science research approach to develop a process mining alignment method. Our method supports companies mapping their individual technical requirements of process mining to their underlying organizational resources. We evaluate our method through a series of interviews with IT consultants. © 2021 IEEE Computer Society. All rights reserved.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108334523&partnerID=40&md5=b750422da087c8187c57ae5708b8e3c8,2-s2.0-85108334523,,,,,,,,,
Agile CMII: A Methodology for Assessing Social Project Impacts Within Agile Contexts,"Fernandes F., Belfort R., Campos F.",2021,,"Agile methodologies have been gaining more and more momentum since its inception in the beginning of the year 2000s. Its inherent iterative and user-centered behavior helps teams to dynamically prioritize, plan and execute work packages, which tend to be appropriate for innovative projects where problem-solution duo co-evolve throughout time. Thus, agile adoption, which naturally began within software development teams, has now been widespread throughout other corporate departments and diverse segments. The present work continues an ongoing research over CMII (Conceição Moura Impact Index), which is an analytics model that combines NPS (net promote score), OKRs (objectives and key results) and SROI (social return over investment) methods for measuring project impacts. Specifically, this current research proposes an integration of Scrum (an agile representative) with CMII model. The main objective is to make the model adoptable and practical for agile teams on social projects. Overall, it functions under Scrum’s sprint ceremonies – planning, daily meeting, review and retrospective –, where CMII KPIs and methods will be timely handled or executed, respectively. The main result is a project assessment methodology – comprised of phases, methods and metrics –, making it applicable for professionals when measuring the overall impact of their initiatives. It aims to dynamically informs strategic decision-making and links it to projects’ operational aspects. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",10.1007/978-3-030-80876-1_45,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112301056&doi=10.1007%2f978-3-030-80876-1_45&partnerID=40&md5=00325b2e92d01ceb7093d8d0b504d02e,2-s2.0-85112301056,,,,,,,,,
Risk Management in Analytics Solutions Integration and Deploy: Case Study in a Brazilian Financial Institution,"de Sousa P.E.L., Costa J.P.V., Monteiro S.B.S., Souza J.C.F.",2022,,"The research seeks to propose a risk management approach for the main risks identified in the integration and implementation of Analytics solutions in a large banking institution in Brazil. Various approaches and techniques were applied during the development of the research. Among them: construction of the SIPOC matrix, survey of the main risks from the literature, validation of risks via semi-structured interviews and applying the FMEA (Failure Mode and Effect Analysis) technique to prioritize risks and manage priority risks. The results indicated that by managing the 3 highest priority risk events, it is fundamentally possible to mitigate the risks with medium, high, and higher risk indexes (RPN) of the process. Such risks are associated with talent retention and training, lack of alignment between clients proposing solutions and recurring changes in the scope of projects. Project managers in Analytics should assess whether their integration/implementation processes foresee preventive, corrective and/or mitigating actions for the associated risk events foreseen in the discovery of this research. Although the theme of Analytics has dominated discussions about innovation and how to obtain the potential value of data in different sectors of the economy, including banking, there are very few studies that have evaluated the data integration process so far, and deploying (deploying) Analytics solutions and their main obstacles and risks to achieve the purpose of reducing the time to put an analytics solution on the air. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",10.1007/978-3-031-04829-6_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130296687&doi=10.1007%2f978-3-031-04829-6_11&partnerID=40&md5=17f950dd9a251765e627fc1460ab261d,2-s2.0-85130296687,,,,,,,,,
Enterprise Financial Project Management by Visual Analytics Tools,"Malyuga N., Komarnytska H., Androsova O., Vovk L., Sharova S., Smolinska N.",2022,,"Companies of all sizes and lines of business are already turning data into real value in many ways. All industries are covered: these are social networks, Internet companies, industrial enterprises, fast food chains, banks, industrialists, hotels, and many others. Scientific research reveals ways to increase productivity through data-driven decision-making. However, the human brain is designed in such a way that graphical display allows one to perceive and understand some features of quantitative data, and some quantitative tasks can be best performed. The article reveals a set of tasks for managing financial projects and the resulting visual analytics methods. Applying a systematic approach to managing financial projects and solving problems of visualization of complex data analytics is considered. The technological sequence of the visual solution of project management tasks for managers is given, and visual analytics methods are proposed to determine the necessary intervention in a problem situation that arises in the project management process. The importance of using modern analytical software is noted, which allows visualizing financial analytics using various models quickly or by combining them. Also, the article highlights the main advantages of using analytical software in financial project management and gives recommendations on using five strategies for effective visual analytics of enterprise financial project management. © 2022 AESSRA. All Rights Reserved.",10.46852/0424-2513.4.2022.24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141350491&doi=10.46852%2f0424-2513.4.2022.24&partnerID=40&md5=4fe407e7e76af475aba71b0f84513e41,2-s2.0-85141350491,,,,,,,,,
Data assessment model for strategic management,Kontio M.; Marttila-Kontio M.; Hotti V.,2014,0,"A data-oriented culture enables new ways of building competitive advantage, but also requires new type of managerial skills. Despite of fast-growing attention to data assets, there are very few managerial tools for the purpose. In this paper, we propose a new data assessment model for strategic management. The model makes the organization's analytical capabilities and development needs transparent. The model consists of three phases and uses an easily communicated four-field model for mapping existing data and discovering new possibilities. The model helps to identify what datasets the organization could use in analytics and to assess them according to their strategic importance. Therefore, organization's development resources can be targeted effectively. The relevancy of the model was discovered during empirical studies with regional organizations on business analytics maturity.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906275152&partnerID=40&md5=619a9719fd015c72558b2b3baef79c3c,2-s2.0-84906275152,Métricas para el monitoreo del portafolio de proyectos,IBIMA Business Review,,IBIMA Publishing,6,"Business, Management and Accounting (miscellaneous) 	2022 	Q4",,,
